County Index,Name in Chinese,Name in English,
875,???,Arun Banner,
876,?????,Old Barag Banner,
877,?????,Ergun City,
878,??????,Oroqin Autonomous Banner,
879,???????,Evenk Autonomous Banner,
880,???,Genhe City,
882,????,Manzhouli City,
883,????????,Morin Dawa Daur Autonomous Banner,
884,??????,New Barag Right Banner,
885,??????,New Barag Left Banner,
886,????,Yakeshi City,
887,????,Zhalantun City,
